volumetric_strain,stress_300K_GPa,stress_400K_GPa,stress_500K_GPa
-0.100000000,-0.350000000,-0.330000000,-0.310000000
-0.099500000,-0.346911090,-0.326997453,-0.307093557
-0.099000000,-0.343842557,-0.324015557,-0.304207843
-0.098500000,-0.340794298,-0.321054206,-0.301342751
-0.098000000,-0.337766206,-0.318113291,-0.298498173
-0.097500000,-0.334758178,-0.315192708,-0.295674002
-0.097000000,-0.331770108,-0.312292347,-0.292870130
-0.096500000,-0.328801891,-0.309412104,-0.290086450
-0.096000000,-0.325853423,-0.306551870,-0.287322854
-0.095500000,-0.322924599,-0.303711538,-0.284579235
-0.095000000,-0.320015314,-0.300891003,-0.281855485
-0.094500000,-0.317125463,-0.298090156,-0.279151497
-0.094000000,-0.314254940,-0.295308891,-0.276467162
-0.093500000,-0.311403642,-0.292547101,-0.273802374
-0.093000000,-0.308571464,-0.289804679,-0.271157026
-0.092500000,-0.305758300,-0.287081517,-0.268531008
-0.092000000,-0.302964045,-0.284377511,-0.265924215
-0.091500000,-0.300188595,-0.281692551,-0.263336538
-0.091000000,-0.297431845,-0.279026531,-0.260767870
-0.090500000,-0.294693691,-0.276379345,-0.258218104
-0.090000000,-0.291974026,-0.273750885,-0.255687131
-0.089500000,-0.289272747,-0.271141045,-0.253174845
-0.089000000,-0.286589748,-0.268549717,-0.250681137
-0.088500000,-0.283924924,-0.265976795,-0.248205901
-0.088000000,-0.281278171,-0.263422171,-0.245749029
-0.087500000,-0.278649384,-0.260885739,-0.243310412
-0.087000000,-0.276038458,-0.258367392,-0.240889945
-0.086500000,-0.273445288,-0.255867023,-0.238487519
-0.086000000,-0.270869770,-0.253384525,-0.236103026
-0.085500000,-0.268311797,-0.250919790,-0.233736359
-0.085000000,-0.265771266,-0.248472713,-0.231387411
-0.084500000,-0.263248072,-0.246043185,-0.229056075
-0.084000000,-0.260742109,-0.243631101,-0.226742241
-0.083500000,-0.258253273,-0.241236353,-0.224445804
-0.083000000,-0.255781459,-0.238858834,-0.222166655
-0.082500000,-0.253326563,-0.236498437,-0.219904688
-0.082000000,-0.250888478,-0.234155056,-0.217659793
-0.081500000,-0.248467101,-0.231828584,-0.215431865
-0.081000000,-0.246062326,-0.229518913,-0.213220795
-0.080500000,-0.243674049,-0.227225936,-0.211026476
-0.080000000,-0.241302165,-0.224949547,-0.208848800
-0.079500000,-0.238946568,-0.222689639,-0.206687660
-0.079000000,-0.236607155,-0.220446105,-0.204542948
-0.078500000,-0.234283819,-0.218218837,-0.202414557
-0.078000000,-0.231976457,-0.216007730,-0.200302379
-0.077500000,-0.229684963,-0.213812675,-0.198206307
-0.077000000,-0.227409233,-0.211633567,-0.196126233
-0.076500000,-0.225149162,-0.209470297,-0.194062050
-0.076000000,-0.222904644,-0.207322760,-0.192013650
