 epoch     train_error      test_error
     0 3.584000000e-03 1.958000000e-03
    10 1.448000000e-04 1.509000000e-04
    20 1.254000000e-04 3.212000000e-04
    30 7.818000000e-05 9.225000000e-05
    40 6.090000000e-05 7.347000000e-05
    50 7.629000000e-05 8.351000000e-05
    60 4.768000000e-05 5.963000000e-05
    70 5.630000000e-05 5.255000000e-05
    80 4.771000000e-05 4.953000000e-05
    90 3.456000000e-05 4.504000000e-05
   100 3.522000000e-05 4.244000000e-05
   110 3.378000000e-05 4.118000000e-05
   120 2.399000000e-05 3.548000000e-05
   130 1.131000000e-04 1.139000000e-04
   140 1.940000000e-05 2.723000000e-05
   150 2.303000000e-05 3.094000000e-05
   160 2.074000000e-05 2.612000000e-05
   170 3.445000000e-05 5.245000000e-05
   180 1.995000000e-05 2.681000000e-05
   190 2.417000000e-05 2.646000000e-05
   200 1.791000000e-05 4.488000000e-05
